country,beer_servings,spirit_servings,wine_servings,continent,sub_region
Grenada,199,438,28,North America,Caribbean
Guatemala,53,69,2,North America,Central America
Armenia,21,179,11,Asia,Western Asia
Guinea,9,0,2,Africa,Western Africa
Guinea-Bissau,28,31,21,Africa,Western Africa
Guyana,93,302,1,South America,South America
Haiti,1,326,1,North America,Caribbean
Honduras,69,98,2,North America,Central America
Hungary,234,215,185,Europe,Eastern Europe
Iceland,233,61,78,Europe,Northern Europe
India,9,114,0,Asia,Southern Asia
Indonesia,5,1,0,Asia,South-Eastern Asia
Iran,0,0,0,Asia,Western Asia
Australia,261,72,212,Australia / Oceania,Australia and New Zealand
Iraq,9,3,0,Asia,Western Asia
Ireland,313,118,165,Europe,Northern Europe
Israel,63,69,9,Asia,Western Asia
Italy,85,42,237,Europe,Southern Europe
Jamaica,82,97,9,North America,Caribbean
Japan,77,202,16,Asia,Eastern Asia
Jordan,6,21,1,Asia,Western Asia
Kazakhstan,124,246,12,Asia,Central Asia
Kenya,58,22,2,Africa,Eastern Africa
Kiribati,21,34,1,Australia / Oceania,Oceania-Micronesia
Austria,279,75,191,Europe,Western Europe
Kuwait,0,0,0,Asia,Western Asia
Kyrgyzstan,31,97,6,Asia,Central Asia
Laos,62,0,123,Asia,South-Eastern Asia
Latvia,281,216,62,Europe,Northern Europe
Lebanon,20,55,31,Asia,Western Asia
Lesotho,82,29,0,Africa,Southern Africa
Liberia,19,152,2,Africa,Western Africa
Libya,0,0,0,Africa,Northern Africa
Lithuania,343,244,56,Europe,Northern Europe
Luxembourg,236,133,271,Europe,Western Europe
